id,name,grade,enhancement,maximum,minimum,price,count
629,[Party] Elixir of Spells,1,0,45300,39100,42200,2241
630,[Party] Elixir of Agile Spells,2,0,80000,69000,74500,3847
631,[Party] Elixir of Seal,1,0,65500,60000,64500,32
632,[Party] Agile Seal Elixir,2,0,37900,32700,35300,391
633,[Party] Elixir of Assassination,1,0,219000,189000,204000,11242
634,[Party] Elixir of Lethal Assassin,2,0,314000,272000,293000,332
635,[Party] Elixir of Detection,1,0,480000,439000,474000,22
636,[Party] Elixir of Sharp Detection,2,0,815000,755000,815000,0
637,[Party] Elixir of Concentration,1,0,42400,39300,42400,0
638,[Party] Elixir of Advanced Concentration,2,0,63500,59000,63500,0
639,[Party] Elixir of Will,1,0,29500,25500,27500,23
640,[Party] Elixir of Remarkable Will,2,0,10600,9200,9900,167
641,[Party] Elixir of Fury,1,0,59000,52500,56500,107
642,[Party] Elixir of Endless Fury,2,0,89000,82500,89000,137
643,[Party] Elixir of Resistance,1,0,27500,23700,25600,347
644,[Party] Elixir of Sharp Resistance,2,0,87000,75000,81000,0
645,[Party] Elixir of Life,1,0,35200,30400,32800,0
646,[Party] Elixir of Strong Life,2,0,98500,85500,92000,3
647,[Party] Elixir of Mentality,1,0,18200,15800,17000,37
648,[Party] Elixir of Clear Mentality,2,0,13700,11900,12800,224
649,[Party] Grim Reaper's Elixir,1,0,209000,181000,195000,164
650,[Party] Grim Soul Reaper's Elixir,2,0,366000,339000,366000,0
651,[Party] EXP Elixir,1,0,36200,31200,33700,5491
652,[Party] Splendid EXP Elixir,2,0,129000,111000,120000,266
653,[Party] Defense Elixir,1,0,83000,74000,80000,2711
654,[Party] Elixir of Steel Defense,2,0,126000,117000,126000,0
655,[Party] Elixir of Carnage,1,0,176000,152000,164000,0
656,[Party] Elixir of Brutal Carnage,2,0,373000,346000,373000,0
657,[Party] Elixir of Sky,1,0,127000,111000,119000,26
658,[Party] Merciless Sky Elixir,2,0,352000,304000,328000,0
659,[Party] Elixir of Endurance,1,0,42300,36500,39400,0
660,[Party] Elixir of Overwhelming Endurance,2,0,104000,94500,102000,0
661,[Party] Worker's Elixir,1,0,96000,83000,89500,1766
662,[Party] Skilled Worker's Elixir,2,0,160000,148000,159000,580
663,[Party] Fisher's Elixir,1,0,84500,73500,79000,615
664,Elixir of Amity,1,0,36500,31500,34000,671
665,Improved Elixir of Amity,2,0,168000,156000,168000,0
668,Resurrection Elixir,1,0,6750,5850,6300,0
669,Strong Resurrection Elixir,2,0,35600,30800,33200,302
670,Elixir of Human Hunt,1,0,6950,6050,6500,181
671,Elixir of Perfect Human Hunt,2,0,155000,135000,145000,1149
672,Elixir of Frenzy,1,0,142000,124000,133000,6927
673,Elixir of Endless Frenzy,2,0,436000,376000,406000,4423
674,Golden Hand Elixir,1,0,40500,34900,37700,321
675,Glorious Golden Hand Elixir,2,0,159000,137000,148000,901
676,Elixir of Draining,1,0,26400,22800,24600,173
677,Elixir of Strong Draining,2,0,294000,272000,294000,134
678,Elixir of Demihuman Hunt,1,0,30300,26100,28200,20257
679,Fierce Demihuman Hunting Elixir,2,0,88500,76500,82500,6418
680,Elixir of Perforation,1,0,182000,169000,182000,0
681,Elixir of Brutal Perforation,2,0,312000,289000,312000,0
682,Elixir of Energy,1,0,14700,12700,13700,1490
683,Surging Energy Elixir,2,0,31900,27500,29700,2014
684,Elixir of Wings,1,0,29400,25400,27400,0
685,Soaring Wings Elixir,2,0,87000,75000,81000,1
686,Elixir of Death,1,0,100000,86500,93500,26
687,Brutal Death Elixir,2,0,326000,282000,304000,154
688,Elixir of Wind,1,0,27100,23500,25300,0
689,Elixir of Flowing Wind,2,0,168000,156000,168000,9
690,Elixir of Swiftness,1,0,40300,34700,37500,1992
691,Elixir of Intrepid Swiftness,2,0,104000,90500,97500,615
692,Elixir of Spells,1,0,27300,23500,25400,0
693,Elixir of Agile Spells,2,0,90500,78500,84500,15162
694,Elixir of Seal,1,0,20600,17800,19200,2
695,Agile Seal Elixir,2,0,32100,27700,29900,1018
696,Elixir of Assassination,1,0,37600,32400,35000,1993
697,Elixir of Lethal Assassin,2,0,242000,210000,226000,1987
698,Elixir of Detection,1,0,335000,289000,312000,1211
699,Elixir of Sharp Detection,2,0,850000,790000,850000,50
700,Elixir of Concentration,1,0,15400,13400,14400,3332
701,Elixir of Advanced Concentration,2,0,66000,61500,66000,0
702,Elixir of Will,1,0,16100,13900,15000,611
703,Elixir of Remarkable Will,2,0,32100,27700,29900,322
704,Elixir of Fury,1,0,31600,27200,29400,14179
705,Elixir of Endless Fury,2,0,89000,77000,83000,814
706,Elixir of Resistance,1,0,23100,19900,21500,16694
707,Elixir of Sharp Resistance,2,0,70500,61500,66000,4764
708,Elixir of Life,1,0,9050,7850,8450,127
709,Elixir of Strong Life,2,0,12500,10900,11700,164
710,Elixir of Mentality,1,0,9250,8050,8650,511
711,Elixir of Clear Mentality,2,0,14000,12200,13100,27
712,Grim Reaper's Elixir,1,0,132000,114000,123000,4817
713,Grim Soul Reaper's Elixir,2,0,381000,346000,374000,62
714,EXP Elixir,1,0,19500,16900,18200,816
715,Splendid EXP Elixir,2,0,62000,54000,58000,60
716,Defense Elixir,1,0,32100,27700,29900,5
717,Elixir of Steel Defense,2,0,130000,121000,130000,390
718,Elixir of Carnage,1,0,103000,89500,96500,887
719,Elixir of Brutal Carnage,2,0,387000,358000,387000,0
720,Elixir of Sky,1,0,84000,73000,78500,2768
721,Merciless Sky Elixir,2,0,269000,233000,251000,0
722,Elixir of Endurance,1,0,28500,24700,26600,4996
723,Elixir of Overwhelming Endurance,2,0,108000,100000,108000,482
724,Worker's Elixir,1,0,13200,11400,12300,2482
725,Skilled Worker's Elixir,2,0,57500,49500,53500,5448
726,Fisher's Elixir,1,0,32700,28300,30500,1931
727,Skilled Fisher's Elixir,2,0,30700,26500,28600,209
728,Elixir of Burn Removal,1,0,395,368,368,10711
729,Antidote Elixir,1,0,379,353,353,15075
730,Elixir of Hemostasis,1,0,535,500,500,3972
732,Whale Tendon Elixir,2,0,1400000,1220000,1310000,79
733,Tough Whale Tendon Elixir,3,0,5650000,4910000,5300000,202
734,Perfume of Courage,3,0,3110000,2690000,2900000,10
735,Perfume of Swiftness,3,0,10200000,9350000,10100000,0
736,[Party] Skilled Fisher's Elixir,2,0,149000,136000,147000,110
737,[Party] Elixir of Burn Removal,1,0,5550,4810,5200,0
738,[Party] Antidote Elixir,1,0,4970,4290,4630,84
739,[Party] Elixir of Hemostasis,1,0,5850,5050,5450,3255
740,Griffon's Elixir,1,0,66500,57500,62000,465
741,Strong Griffon's Elixir,2,0,208000,193000,208000,0
744,[Party] Griffon's Elixir,1,0,96000,83000,89500,0
745,[Party] Strong Griffon's Elixir,2,0,192000,178000,192000,0
748,Khalk's Elixir,3,0,9750000,8450000,9100000,90
749,Elixir of Time,1,0,35000,30200,32600,10144
750,Elixir of Flowing Time,2,0,144000,124000,134000,4985
751,[Party] Elixir of Time,1,0,82500,71500,77000,547
752,[Party] Elixir of Flowing Time,2,0,162000,141000,152000,0
753,Elixir of Training,1,0,34600,29800,32200,6630
754,Elixir of Expert Training,2,0,163000,141000,152000,1812
755,[Party] Elixir of Training,1,0,108000,100000,108000,0
756,[Party] Elixir of Expert Training,2,0,162000,150000,162000,0
761,Marking Reagent,3,0,240000,222000,240000,0
762,Elixir of Shock,1,0,21000,18200,19600,15202
763,Elixir of Strong Shock,2,0,132000,114000,123000,1480
764,[Party] Elixir of Shock,1,0,62000,54000,58000,1844
765,[Party] Elixir of Strong Shock,2,0,168000,156000,168000,0
766,[Mix] EXP-Reaper Elixir,2,0,57500,49500,53500,32
767,[Mix] Time-Training Elixir,2,0,550000,505000,545000,15
768,[Mix] Swiftness-Wind-Spell Elixir,2,0,550000,481000,520000,35
769,[Mix] Manhunt-Rage Elixir,2,0,491000,423000,457000,115
770,[Mix] Thorn-Defense Elixir,2,0,550000,505000,545000,4
771,Elixir of Deep Sea,3,0,5250000,4770000,5150000,0
773,Weenie Elixir,1,0,22300,19300,20800,9
774,Surging Weenie Elixir,2,0,192000,175000,189000,5979
775,[Party] Weenie Elixir,1,0,102000,94500,102000,0
776,[Party] Surging Weenie Elixir,2,0,176000,161000,174000,0
777,Looney Elixir,1,0,52000,45100,48700,11
778,Reliable Looney Elixir,2,0,106000,92500,99500,159
779,[Party] Looney Elixir,1,0,66500,57500,62000,0
780,[Party] Reliable Looney Elixir,2,0,124000,115000,124000,0
781,Spirit Perfume Elixir,3,0,960000,880000,950000,2482
782,Helix Elixir,1,0,48200,41600,44900,3632
783,Splendid Helix Elixir,2,0,176000,163000,176000,0
784,[Party] Helix Elixir,1,0,56000,48600,52500,0
785,[Party] Splendid Helix Elixir,2,0,160000,148000,160000,0
791,Verdure Draught,3,0,448000,386000,417000,8457
792,Beast's Draught,3,0,755000,655000,705000,3311
793,Giant's Draught,3,0,1230000,1070000,1150000,10658
794,Savage Draught,3,0,615000,535000,575000,2803
795,광분의 영약,3,0,1800000,1560000,1680000,3989
2002,Heidelian Handcrafted High-Quality Drawers,1,0,240000,222000,240000,0
2004,Velian handmade High-Quality Drawers,1,0,160000,148000,160000,0
2006,Calpheon Handcrafted Drawer,1,0,290000,265000,286000,22
2008,Mediahn Handcrafted Drawers,1,0,410000,380000,410000,0
2010,Mediahn Handcrafted Bedside Table,1,0,195000,181000,195000,0
2012,Heidelian Handcrafted High-Quality Bedside Table,1,0,190000,174000,188000,0
2014,Velian Handcrafted High-Quality Bedside Table,1,0,150000,139000,150000,0
2016,Calpheon Handcrafted Cabinet,1,0,200000,185000,200000,73
2018,Valencian Handcrafted Drawers,1,0,455000,420000,453000,0
2020,Valencian Handcrafted Bedside Table,1,0,325000,301000,325000,0
2102,Heidelian Handcrafted Wardrobe,1,0,290000,269000,290000,0
2104,Velian Handcrafted Wardrobe,1,0,225000,209000,225000,0
2106,Calpheon Handcrafted Wardrobe,1,0,325000,301000,325000,59
2108,Mediahn Handcrafted Closet,1,0,525000,486000,525000,2
2110,Valencian Handcrafted Wardrobe,1,0,625000,580000,625000,0
2202,Heidelian Handcrafted Dining Table,1,0,185000,170000,183000,0
2204,Velian Handcrafted Dining Table,1,0,146000,131000,141000,0
2206,Calpheon Handcrafted Dining Table,1,0,228000,210000,226000,44
2208,Mediahn Handcrafted Dining Table,1,0,335000,310000,335000,0
2210,Mediahn Handcrafted Table,1,0,310000,287000,310000,0
2212,Heidelian Handcrafted Table,1,0,246000,228000,246000,0
2214,Velian Handcrafted Table,1,0,255000,233000,251000,95
2216,Calpheon Handcrafted Table,1,0,297000,273000,295000,0
2218,Valencian Handcrafted Dining Table,1,0,300000,278000,300000,0
2220,Valencian Handmade Table,1,0,280000,259000,280000,0
2302,Heidelian Handcrafted Chair,1,0,68500,63500,68500,0
2304,Velian Handcrafted Chair,1,0,69000,64000,69000,0
2306,Calpheon Handcrafted Chair,1,0,85000,79000,85000,0
2309,Heidelian Handcrafted Sofa,1,0,4000000,3640000,3930000,0
2311,Velian Handcrafted Sofa,1,0,1760000,1610000,1730000,0
2313,Calpheon Handcrafted Sofa,1,0,4000000,3700000,4000000,0
2315,Mediahn Handcrafted Chair,1,0,146000,136000,146000,0
2316,Mediahn Handcrafted Sofa,1,0,2400000,2220000,2400000,0
2318,Valencian Handcrafted Chair,1,0,225000,209000,225000,0
2320,Valencian Handcrafted Sofa,1,0,2470000,2290000,2470000,0
2381,Kamasylvian Commander’s Chair,2,0,6000000,5350000,5750000,32
2382,Kamasylvian Squared Chair,2,0,3100000,2870000,3100000,0
2383,Kamasylvia Backrest Chair,2,0,2180000,2020000,2180000,0
2384,Kamasylvian Compact Bench,2,0,2300000,2130000,2300000,0
2387,Duvencrune Antique Bench,2,0,2700000,2500000,2700000,56
2388,Duvencrune Wide Bench,2,0,2700000,2500000,2700000,0
2389,Duvencrune Vertical Bench,2,0,2680000,2480000,2680000,0
2390,Duvencrune Vintage Wooden Bench,2,0,2700000,2490000,2690000,0
2391,Duvencrune Wooden Memorial Chair,2,0,2140000,1980000,2140000,0
2392,Duvencrune Interlocking Chair,2,0,2140000,1980000,2140000,0
2393,Duvencrune Wooden Anvil Chair,2,0,2140000,1980000,2140000,0
2394,Duvencrune Wooden Square Chair,2,0,2160000,2000000,2160000,0
2395,Kamasylvian Standard Bench,2,0,2700000,2500000,2700000,0
2396,Kamasylvian Atanis Bench,2,0,2700000,2500000,2700000,0
2397,Kamasylvian Loopy Short Bench,2,0,2700000,2500000,2700000,0
2398,Kamasylvian Loopy Bench,2,0,2700000,2500000,2700000,0
2399,Kamasylvian Meeting Chair,2,0,2200000,2040000,2200000,0
2501,Bookshelf with Knowledge on Beast Monsters (Balenos),3,0,233000,215000,232000,0
2502,Bookshelf with Knowledge on Imps (Balenos),3,0,200000,185000,200000,0
2503,Bookshelf with Knowledge on Goblins,3,0,200000,185000,199000,0
2504,Bookshelf with Knowledge on the Exiles of Mediah,3,0,173000,161000,173000,0
2505,Bookshelf with Knowledge on Beast Monsters (Serendia),3,0,68500,59500,64000,0
2506,Bookshelf with Knowledge on Plant Monsters (Serendia),3,0,70000,61000,65500,0
2509,Bookshelf with Knowledge on Imps (Serendia),3,0,200000,182000,196000,0
2510,Bookshelf with Knowledge on Fogans,3,0,240000,222000,240000,0
2511,Bookshelf with Knowledge on Nagas,3,0,240000,222000,240000,0
2512,Bookshelf with Knowledge on Red Orcs,3,0,240000,222000,239000,0
2513,Bookshelf with Knowledge on the Al Rhundi Rebels,3,0,173000,161000,173000,0
2514,Bookshelf with Knowledge on Cultists,3,0,173000,161000,173000,0
2515,Bookshelf with Knowledge on the Followers of Kzarka,3,0,233000,216000,233000,0
2517,Bookshelf with Knowledge on Plant Monsters (Calpheon),3,0,200000,183000,197000,0
2518,Bookshelf with Knowledge on Khurutos,3,0,173000,154000,166000,0
2520,Bookshelf with the Knowledge about Monsters at Marni's House,3,0,173000,160000,172000,0
2521,Bookshelf with Knowledge on Saunils,3,0,242000,224000,242000,0
2522,Bookshelf with Knowledge on Monsters of the Mansha Forest,3,0,200000,185000,200000,0
2523,Bookshelf with Knowledge on Rhutums,3,0,240000,222000,240000,0
2524,Bookshelf with Knowledge on Monsters of Lake Kaia,3,0,173000,160000,172000,0
2525,Bookshelf with Knowledge on Monsters of Hexe Sanctuary,3,0,300000,278000,300000,0
2526,Bookshelf with Knowledge on Monsters of the Ruins,3,0,190000,164000,177000,0
2527,Bookshelf with Knowledge on the Secret Societies,3,0,173000,159000,171000,0
2528,Bookshelf with Knowledge on Harpies,3,0,200000,185000,200000,0
2529,Bookshelf with Knowledge on Giants,3,0,200000,185000,200000,0
2530,Bookshelf with Knowledge on Creatures of Calpheon,3,0,65000,56000,60500,0
2531,Bookshelf with Knowledge on Monsters of the Quarry,3,0,200000,183000,197000,0
2532,Bookshelf with Knowledge on Monsters of the Refugee Camp,3,0,200000,185000,200000,0
2533,Bookshelf with knowledge on the Plains (Kamasylvia),3,0,400000,370000,400000,0
2534,Falasi's Bookshelf with Knowledge on Sailing,3,0,875000,810000,875000,0
2535,Falasi's Bookshelf with Knowledge on Excavation,3,0,1920000,1780000,1920000,0
2536,Falasi's Bookshelf with Knowledge on Hunting,3,0,1250000,1160000,1250000,0
2702,Heidelian Handcrafted Bed,1,0,5750000,5300000,5700000,0
2704,Velian Handcrafted Bed,1,0,2210000,2030000,2190000,0
2706,Calpheon Handcrafted Bed,1,0,2900000,2680000,2890000,0
2708,Mediahn Handcrafted Bed,1,0,3300000,3060000,3300000,0
2710,Valencian Handcrafted Bed,1,0,3770000,3480000,3760000,0
2814,Xian Workshop Chandelier (White),1,0,1400000,1300000,1400000,0
2846,Duvencrune Sunset Chandelier,1,0,12000000,11100000,11900000,0
3002,Stuffed Bear Head,1,0,16600,14400,15500,25
3003,Bear Hide Carpet,1,0,30000,27800,30000,0
3006,Stuffed Fox Head,1,0,1370,1280,1280,1192
3007,Goblin Chief Helmet,2,0,33200000,30500000,32900000,0
3013,Imp Captain's Knife,2,0,65000000,60500000,65000000,0
3017,Stuffed Weasel,1,0,1030,965,965,679
3018,Stuffed Gray Wolf Head,1,0,2680,2500,2500,2992
3019,Stuffed Wolf Head,1,0,1780,1660,1660,913
3020,Statue of Blind Faith Ornament,1,0,110000,102000,110000,0
3021,Grotesque Flag Ornament,1,0,50000,46100,49800,0
3023,Jack-O'-Lantern Ornament,1,0,32200,29800,32200,0
3025,Halberd of the Swamp Ornament,1,0,5000,4670,4670,2418
3026,Scrapper's Gloves Ornament,1,0,42200,36400,39300,4
3037,Bheg's Shining Helmet,2,0,1070000,925000,1000000,58
3038,Karanda's Plume Ornament,2,0,2710000,2350000,2530000,0
3039,Witch's Shoulder Ornament,2,0,2730000,2350000,2540000,40
3040,Muskan's Bloody Steel Helmet,2,0,23200000,20000000,21600000,20
3041,Purified Tree Spirit Sprout,2,0,278000,240000,259000,18
3042,Khalk's Wings,2,0,9250000,8050000,8650000,3
3051,Quint Statue,2,0,3000000,2780000,3000000,0
3053,Stuffed Giant Boar Head,1,0,22700,20800,22400,1
3054,Stuffed Elk Head,1,0,1370,1280,1280,939
3061,Stuffed Valencia Mountain Goat Head,1,0,56000,48600,52500,129
3062,Stuffed Giant Lion Head,1,0,262000,229000,247000,78
3063,Stuffed Valencian Lioness Head,1,0,14500,13500,13500,623
3070,King Brown Bear Head,2,0,29000000,26900000,29000000,0
3071,Stuffed White Wolf Head,2,0,25000000,23200000,25000000,0
3073,Stuffed Drieghan Male Goat Head,1,0,119000,103000,111000,16
3074,Stuffed Drieghan Female Goat Head,1,0,137000,119000,128000,10
3075,Stuffed Yak Head,1,0,22400,20900,20900,343
3076,Stuffed Llama,1,0,1240000,1080000,1160000,24
3077,Stuffed Belladonna Elephant Head,1,0,3000000,2780000,3000000,0
3078,Stuffed Baby Belladonna Elephant Head,1,0,2240000,2080000,2240000,0
3079,Stuffed Gazelle Head,1,0,277000,255000,275000,0
3080,Stuffed Black Leopard Head,1,0,1250000,1160000,1250000,0
3081,Stuffed Feather Wolf Head,1,0,18900,17600,17600,13452
3082,Stuffed Phnyl Head,1,0,53500,50000,50000,290
3083,Stuffed Ferrica Head,1,0,510000,472000,510000,0
3084,Stuffed Ferrina Head,1,0,1000000,925000,1000000,0
3085,그리폰 샹들리에,1,0,40000000,37000000,40000000,0
3086,Stuffed Kamasylvia Weasel,1,0,4300000,3980000,4300000,0
3401,장인의 곰 머리 박제,2,0,2000000,1850000,1990000,0
3405,장인의 여우 머리 박제,2,0,2020000,1870000,2020000,0
3406,장인의 족제비 박제,2,0,3000000,2760000,2980000,0
3407,장인의 회색 늑대 머리 박제,2,0,2000000,1850000,2000000,0
3408,장인의 늑대 머리 박제,2,0,2000000,1850000,1990000,0
3409,장인의 거대 멧돼지 머리 박제,2,0,2000000,1850000,2000000,0
3410,장인의 큰뿔사슴 머리 박제,2,0,1180000,1090000,1170000,0
3411,장인의 발렌시아 산양 머리 박제 ,2,0,4000000,3700000,4000000,0
3412,장인의 거대 사자 머리 박제,2,0,5000000,4500000,4860000,5
3413,장인의 발렌시아 암사자 머리 박제,2,0,4000000,3700000,3990000,1
3416,장인의 드리간 수컷 염소 머리 박제,2,0,4000000,3700000,3990000,7
3417,장인의 드리간 암컷 염소 머리 박제,2,0,4000000,3700000,4000000,8
3418,장인의 야크 머리 박제,2,0,4320000,3720000,4020000,2
3419,장인의 라마 전신 박제,2,0,10600000,9250000,10000000,5
3501,명장의 곰 머리 박제,3,0,575000,495000,535000,0
3505,명장의 여우 머리 박제,3,0,675000,585000,630000,0
3506,명장의 족제비 박제,3,0,1250000,1160000,1250000,0
3507,명장의 회색 늑대 머리 박제,3,0,319000,275000,297000,0
3508,명장의 늑대 머리 박제,3,0,860000,800000,860000,0
3509,명장의 거대 멧돼지 머리 박제,3,0,404000,348000,376000,0
3510,명장의 큰뿔사슴 머리 박제,3,0,845000,785000,845000,0
3511,명장의발렌시아 산양 머리 박제,3,0,445000,383000,414000,0
3512,명장의 거대 사자 머리 박제,3,0,1740000,1610000,1740000,0
3513,명장의 발렌시아 암사자 머리 박제,3,0,530000,459000,496000,0
3516,명장의 드리간 수컷 염소 머리 박제,3,0,580000,500000,540000,0
3517,명장의 드리간 암컷 염소 머리 박제,3,0,865000,745000,805000,2
3518,명장의 야크 머리 박제,3,0,1560000,1430000,1540000,0
3519,명장의 라마 전신 박제,3,0,3220000,3000000,3000000,0
3520,Artisan's Stuffed Belladonna Elephant Head,2,0,17400000,15000000,16200000,0
3521,Artisan's Stuffed Baby Belladonna Elephant Head,2,0,8600000,7400000,8000000,0
3522,Artisan's Stuffed Gazelle Head,2,0,4000000,3700000,4000000,0
3523,Artisan's Stuffed Black Leopard Head,2,0,10100000,9000000,9700000,7
3524,Artisan's Stuffed Feather Wolf Head,2,0,2270000,1970000,2120000,28
3525,Artisan's Stuffed Phnyl Head,2,0,5600000,5000000,5400000,7
3526,Artisan's Stuffed Ferrica Head,2,0,1520000,1320000,1420000,0
3527,Artisan's Stuffed Ferrina Head,2,0,5000000,4600000,4970000,0
3528,Artisan's Stuffed Kamasylvia Weasel,2,0,11400000,10400000,11200000,0
3529,Master's Stuffed Belladonna Elephant Head,3,0,4500000,4170000,4500000,0
3531,Master's Stuffed Gazelle Head,3,0,1160000,1000000,1080000,0
3532,Master's Stuffed Black Leopard Head,3,0,15200000,14100000,15200000,0
3533,Master's Stuffed Feather Wolf Head,3,0,6500000,5600000,6050000,82
3534,Master's Stuffed Phnyl Head,3,0,2590000,2400000,2590000,0
3536,Master's Stuffed Ferrina Head,3,0,1740000,1610000,1730000,0
3537,Master's Stuffed Kamasylvia Weasel,3,0,30000000,27500000,29700000,0
3702,Intermediate Alchemy Tool,0,0,720000,670000,720000,0
3703,Advanced Alchemy Tool,0,0,1170000,1090000,1170000,0
3718,Intermediate Cooking Utensil,0,0,310000,287000,310000,0
3719,Advanced Cooking Utensil,0,0,1020000,945000,1020000,0
3731,Serendia Traditional Alchemy Tool,0,0,400000,370000,400000,0
3732,Calpheon Traditional Alchemy Tool,0,0,1150000,1070000,1150000,0
3741,Serendia Traditional Cooking Utensil,0,0,400000,370000,400000,0
3742,Calpheon Traditional Cooking Utensil,0,0,730000,680000,730000,0
4001,Iron Ore,0,0,615,535,575,27665
4002,Lead Ore,0,0,2560,2210,2390,19260
4003,Copper Ore,0,0,468,403,436,14753
4004,Tin Ore,0,0,1780,1540,1660,17193
4005,Zinc Ore,0,0,4130,3570,3850,18162
4006,Rough Stone,0,0,3770,3490,3770,0
4007,Coal,0,0,1370,1190,1280,0
4008,Vanadium Ore,0,0,5050,4370,4720,12382
4009,Titanium Ore,0,0,4920,4240,4580,34222
4010,Sulfur,0,0,1440,1240,1340,1611
4011,Noc Ore,0,0,4070,3510,3790,54111
4051,Melted Iron Shard,0,0,2910,2510,2710,30970
4052,Iron Ingot,0,0,13900,12100,13000,17417
4053,Pure Iron Crystal,0,0,211000,183000,197000,0
4054,Melted Lead Shard,0,0,1360,1270,1270,16396
4055,Lead Ingot,0,0,15100,13100,14100,10576
4056,Pure Lead Crystal,0,0,136000,118000,127000,524
4057,Melted Copper Shard,0,0,2480,2140,2310,46255
4058,Copper Ingot,0,0,11000,9550,10300,2572
4059,Pure Copper Crystal,0,0,184000,160000,172000,0
