id,name,grade,enhancement,maximum,minimum,price,count
627,[Grupo] Elixir de Rapidez,1,0,111000,100000,108000,7449
628,[Grupo] Elixir de Rapidez Intrépida,2,0,166000,154000,166000,0
629,[Grupo] Elixir de Feitiço,1,0,45300,39100,42200,2221
630,[Grupo] Elixir de Feitico Ágil,2,0,79500,68500,74000,3633
631,[Grupo] Elixir do Selo,1,0,65500,60500,65000,3
632,[Grupo] Elixir do Selo Ágil,2,0,39400,34000,36700,479
633,[Grupo] Elixir de Assassino,1,0,208000,180000,194000,15665
634,[Grupo] Elixir de Assassino Letal,2,0,354000,328000,354000,4694
635,[Grupo] Elixir de Detecção,1,0,480000,444000,479000,0
636,[Grupo] Elixir de Detecção Afiada,2,0,810000,700000,755000,0
637,[Grupo] Elixir de Concentração,1,0,42400,39300,42400,9
638,[Grupo] Elixir de Concentração Avançada,2,0,63500,59000,63500,0
639,[Grupo] Elixir da Vontade,1,0,31400,27200,29300,96
640,[Grupo] Elixir da Vontade Extraordinária,2,0,13000,11200,12100,176
641,[Grupo] Elixir de Fúria,1,0,58500,50500,54500,7
642,[Grupo] Elixir de Fúria Infinita,2,0,89000,78500,84500,194
643,[Grupo] Elixir de Resistência,1,0,27500,23700,25600,125
644,[Grupo] Elixir de Resistência Afiada,2,0,87000,75000,81000,0
645,[Grupo] Elixir de Vida,1,0,40400,34800,37600,144
646,[Grupo] Elixir de HP Poderosa,2,0,122000,106000,114000,85
647,[Grupo] Elixir de Mentalidade,1,0,18500,16100,17300,17
648,[Grupo] Elixir de Mentalidade Limpa,2,0,13700,11900,12800,198
649,[Grupo] Elixir de Ceifador,1,0,209000,181000,195000,92
650,[Grupo] Elixir de Ceifador de Alma,2,0,366000,339000,366000,328
651,[Grupo] Elixir de Experiência,1,0,32600,28200,30400,740
652,[Grupo] Elixir de Experiência Esplendida,2,0,97000,84000,90500,61
653,[Grupo] Elixir de Defesa,1,0,82500,71500,77000,2378
654,[Grupo] Elixir de Defesa Poderosa,2,0,125000,109000,117000,0
655,[Grupo] Elixir de Carnificina,1,0,175000,151000,163000,0
656,[Grupo] Elixir de Carnificina Brutal,2,0,373000,335000,362000,44
657,[Grupo] Elixir do Céu,1,0,134000,116000,125000,5
658,[Grupo] Elixir do Céu Impiedoso,2,0,352000,304000,328000,15
659,[Grupo] Elixir de Estamina,1,0,42300,36500,39400,0
660,[Grupo] Elixir de Estamina Esmagadora,2,0,104000,96500,104000,34
661,[Grupo] Elixir de Operário,1,0,98500,85500,92000,1361
662,[Grupo] Elixir de Operário Habilidoso,2,0,160000,148000,160000,0
663,[Grupo] Elixir de Pescador,1,0,90000,78000,84000,1227
664,Elixir de Amizade,1,0,51500,44600,48200,1467
665,Elixir de Melhoria de Amizade,2,0,168000,156000,168000,0
668,Elixir de Ressurreição,1,0,26600,23000,24800,9608
669,Elixir de Ressurreição Poderosa,2,0,33000,28400,30700,5618
670,Elixir de Caça a Humano,1,0,10500,9100,9800,9
671,Elixir Perfeito de Caça a Humano,2,0,108000,93500,101000,2277
672,Elixir do Frenesi,1,0,202000,185000,200000,16381
673,Elixir do Frenesi Infinito,2,0,690000,615000,660000,2111
674,Elixir de Mão Dourada,1,0,49700,42900,46300,8874
675,Elixir de Gloriosa Mão Dourada,2,0,149000,129000,139000,0
676,Elixir de Pilhagem,1,0,33700,29100,31400,1
677,Elixir de Pilhagem Forte,2,0,294000,272000,293000,2939
678,Elixir de Caçar a Humanoide,1,0,40600,35000,37800,8253
679,Elixir de Caça a Humanoide Feroz,2,0,119000,103000,111000,2060
680,Elixir de Perfuração,1,0,182000,169000,182000,0
681,Elixir de Perfuração Brutal,2,0,312000,289000,312000,0
682,Elixir da Energia,1,0,22600,19600,21100,0
683,Elixir de Energia Afluente,2,0,27900,24100,26000,166
684,Elixir das Asas,1,0,34500,29700,32100,3816
685,Elixir das Asas Ascendentes,2,0,94500,81500,88000,2394
686,Elixir da Morte,1,0,105000,91000,98000,3119
687,Elixir de Morte Brutal,2,0,348000,300000,324000,1293
688,Elixir do Vento,1,0,40200,34600,37400,110
689,Elixir de Vento Fluente,2,0,168000,156000,168000,0
690,Elixir de Rapidez,1,0,43400,37400,40400,1776
691,Elixir da Rapidez Intrépida,2,0,103000,89500,96500,637
692,Elixir de Feitiço,1,0,31100,26900,29000,12525
693,Elixir de Feitiço Ágil,2,0,68500,59500,64000,500
694,Elixir do Selo,1,0,19000,16400,17700,1551
695,Elixir do Selo Ágil,2,0,30800,26600,28700,729
696,Elixir de Assassinato,1,0,44200,38200,41200,0
697,Elixir de Assassino Letal,2,0,240000,208000,224000,0
698,Elixir de Detecção,1,0,396000,342000,369000,3458
699,Elixir de Detecção Afiada,2,0,850000,790000,850000,0
700,Elixir da Concentração,1,0,20600,17800,19200,2363
701,Elixir de Concentração Avançada,2,0,66000,57000,61500,5
702,Elixir da Vontade,1,0,29700,25700,27700,2042
703,Elixir da Vontade Extraordinária,2,0,57500,49500,53500,2100
704,Elixir de Fúria,1,0,26600,23000,24800,5611
705,Elixir da Fúria Infinita,2,0,84500,73500,79000,458
706,Elixir da Resistência,1,0,22000,19000,20500,10891
707,Elixir da Resistência Afiada,2,0,69000,60000,64500,1102
708,Elixir da HP,1,0,10300,8900,9600,54
709,Elixir de HP Poderosa,2,0,17600,15200,16400,154
710,Elixir de Mentalidade,1,0,10100,8700,9400,82
711,Elixir de Mentalidade Limpa,2,0,12400,10800,11600,264
712,Elixir do Ceifador,1,0,138000,120000,129000,352
713,Elixir de Ceifador de Alma,2,0,381000,348000,376000,657
714,Elixir de Experiência,1,0,16900,14700,15800,5066
715,Elixir de Experiência Esplêndida,2,0,52500,45400,49000,4836
716,Elixir da Defesa,1,0,46000,39600,42800,1925
717,Elixir de Defesa de Aço,2,0,130000,121000,130000,328
718,Elixir de Carnificina,1,0,109000,94500,102000,919
719,Elixir de Carnificina Brutal,2,0,387000,358000,387000,0
720,Elixir do Céu,1,0,78000,68000,73000,700
721,Elixir do Céu Impiedoso,2,0,280000,242000,261000,23
722,Elixir de Estamina,1,0,42700,36900,39800,5288
723,Elixir de Estamina Esmagadora,2,0,108000,97500,105000,766
724,Elixir de Operário,1,0,14800,12800,13800,253
725,Elixir de Operário Habilidoso,2,0,58000,50000,54000,1041
726,Elixir de Pescador,1,0,55500,48100,52000,0
727,Elixir de Pescador Habilidoso,2,0,31100,26900,29000,153
728,Elixir de Remoção de Queimadura,1,0,395,368,368,11808
729,Elixir de Antídoto,1,0,379,353,353,4624
730,Elixir de Hemostasia,1,0,535,500,500,4667
732,Elixir de Tendão de Baleia,2,0,1350000,1170000,1260000,71
733,Elixir Robusto de Tendão de Baleia,3,0,8250000,7150000,7700000,62
734,Perfume de Coragem,3,0,6350000,5550000,5950000,109
735,Perfume de Rapidez,3,0,10200000,9450000,10200000,0
736,[Grupo] Elixir de Pescador Habilidoso,2,0,149000,129000,139000,0
737,[Grupo] Elixir de Remoção de Queimadura,1,0,5550,4810,5200,0
738,[Grupo] Elixir de Antídoto,1,0,4970,4290,4630,82
739,[Grupo] Elixir de Hemostasia,1,0,5850,5050,5450,3609
740,Elixir de Grifo,1,0,56500,49100,53000,29
741,Elixir de Grifo Poderoso,2,0,208000,193000,208000,0
744,[Grupo] Elixir de Grifo,1,0,96000,88500,95500,5
745,[Grupo] Elixir de Grifo Poderoso,2,0,192000,178000,192000,0
748,Elixir do Khalk,3,0,10300000,9450000,10200000,0
749,Elixir do Tempo,1,0,38000,32800,35400,5256
750,Elixir de Tempo Fluente,2,0,148000,128000,138000,1847
751,[Grupo] Elixir de Tempo,1,0,99000,86000,92500,1047
752,[Grupo] Elixir de Tempo Fluente,2,0,162000,150000,162000,0
753,Elixir de Treinamento,1,0,38400,33200,35800,1091
754,Elixir de Treinamento de Especialistas,2,0,168000,153000,165000,1290
755,[Grupo] Elixir de Treinamento,1,0,108000,100000,108000,2456
756,[Grupo] Elixir de Treinamento de Especialistas,2,0,162000,150000,162000,0
761,Reagente de Marcação,3,0,240000,222000,240000,0
762,Elixir de Choque,1,0,17400,15000,16200,260
763,Elixir de Choque Poderoso,2,0,99000,86000,92500,618
764,[Grupo] Elixir de Choque,1,0,70500,61500,66000,6
765,[Grupo] Elixir de Choque Poderoso,2,0,168000,149000,161000,0
766,[Mistura] Experiência - Elixir de Ceifador,2,0,62000,54000,58000,41
767,[Mistura] Tempo - Elixir de Treinamento,2,0,550000,505000,545000,84
768,[Mistura] Rapidez - Vento - Elixir de Feitiço,2,0,550000,500000,540000,184
769,[Mistura] Caça ao Homem - Elixir de Fúria,2,0,489000,421000,455000,125
770,[Mistura] Espinho - Elixir de Defesa,2,0,550000,495000,535000,13
771,Elixir de Mar Profundo,3,0,5250000,4860000,5250000,0
773,Elixir de Espírito Weenie,1,0,29600,25600,27600,124
774,Elixir de Espírito Weenie Afluente,2,0,192000,175000,189000,6133
775,[Grupo] Elixir de Espírito Weenie,1,0,102000,94500,102000,0
776,[Grupo] Elixir de Espírito Weenie Afluente,2,0,176000,160000,172000,0
777,Elixir de Espírito Looney,1,0,43700,37700,40700,4
778,Elixir de Espírito Looney Poderoso,2,0,123000,107000,115000,35
779,[Grupo] Elixir de Espírito Looney,1,0,66500,57500,62000,0
780,[Grupo] Elixir de Espírito Winnie Sólido,2,0,124000,115000,124000,0
781,Perfume de Espírito,3,0,960000,890000,960000,0
782,Elixir de Espiral,1,0,67000,58000,62500,504
783,Elixir de Espiral Brilhante,2,0,176000,163000,176000,0
784,[Grupo] Elixir de Espiral,1,0,60000,52000,56000,4
785,[Grupo] Elixir de Espiral Brilhante,2,0,160000,148000,160000,0
791,Elixir da Folha Verde,3,0,440000,380000,410000,7183
792,Elixir da Fera,3,0,725000,625000,675000,10340
793,Elixir do Gigante,3,0,1260000,1100000,1180000,10448
794,Elixir de Barbaridade,3,0,820000,710000,765000,981
795,Elixir do Alvoroço,3,0,1850000,1610000,1730000,1930
2002,Gaveta Artesanal de Alta Qualidade de Heidel,1,0,240000,218000,235000,2
2004,Gavetas Artesanais de Alta Qualidade de Velia,1,0,160000,145000,156000,0
2006,Gaveta Artesanal de Calpheon,1,0,290000,269000,290000,99
2008,Gaveta Artesanal Mediah,1,0,410000,376000,406000,0
2010,Mesa de Cabeceira Artesanal de Mediah,1,0,195000,181000,195000,0
2012,Mesa de Cabeceira Artesa. de Alta Qualidade Heidel,1,0,190000,173000,187000,0
2014,Mesa de Cabeceira Artesanal de Velia,1,0,150000,139000,150000,0
2016,Mesa de Cabeceira Artesanal de Calpheon,1,0,200000,185000,200000,98
2018,Gaveta Artesanal Valência,1,0,455000,420000,453000,0
2020,Mesa de Cabeceira Artesanal de Valência,1,0,325000,301000,325000,0
2102,Guarda-Roupa Artesanal de Heidel,1,0,290000,266000,287000,0
2104,Guarda-Roupa Artesanal de Velia,1,0,225000,209000,225000,0
2106,Guarda Roupa Artesanal de Calpheon,1,0,325000,296000,319000,99
2108,Guarda Roupa Artesanal Mediah,1,0,525000,486000,525000,0
2110,Guarda Roupa Artesanal de Valência,1,0,625000,580000,625000,0
2202,Mesa de Jantar Artesanal de Heidel,1,0,185000,172000,185000,0
2204,Mesa de Jantar Artesanal Velia,1,0,146000,132000,142000,0
2206,Mesa de Jantar Artesanal de Calpheon,1,0,228000,211000,228000,98
2208,Mesa de Jantar Artesanal de Mediah,1,0,335000,310000,335000,0
2210,Mesa Artesanal Mediah,1,0,310000,287000,310000,0
2212,Mesa Artesanal de Heidel,1,0,246000,223000,241000,0
2214,Mesa Artesanal de Velia,1,0,251000,217000,234000,0
2216,Mesa Artesanal de Calpheon,1,0,297000,273000,295000,0
2218,Mesa de Jantar Artesanal de Valência,1,0,300000,278000,300000,0
2220,Mesa Artesanal Valência,1,0,280000,259000,280000,0
2302,Cadeira Artesanal de Heidel,1,0,68500,63500,68500,1
2304,Cadeira Artesanal de Velia,1,0,69000,64000,69000,1
2306,Cadeira Artesanal de Calpheon,1,0,85000,79000,85000,0
2309,Sofá Artesanal Heidel,1,0,4000000,3700000,4000000,0
2311,Sofá Artesanal Velia,1,0,1760000,1610000,1730000,0
2313,Sofá Artesanal Calpheon,1,0,4000000,3700000,4000000,0
2315,Cadeira Artesanal Mediah,1,0,146000,136000,146000,0
2316,Sofá Artesanal Mediah,1,0,2400000,2220000,2400000,0
2318,Cadeira Artesanal Valência,1,0,225000,209000,225000,0
2320,Sofá Artesanal Valência,1,0,2470000,2290000,2470000,0
2381,Cadeira de Comandante de Kamasylvia,2,0,6000000,5550000,6000000,0
2382,Cadeira Quadrada de Kamasylvia,2,0,3100000,2870000,3100000,0
2383,Cadeira de Modelies de Kamasylvia,2,0,2180000,2020000,2180000,0
2384,Cadeira de Sombra de Kamasylvia,2,0,2300000,2130000,2300000,0
2387,Bancada Antiquada de Duvencrune,2,0,2700000,2500000,2700000,0
2388,Bancada Larga de Duvencrune,2,0,2700000,2500000,2700000,0
2389,Bancada Vertical de Duvencrune,2,0,2680000,2480000,2680000,0
2390,Bancada de Tronco de Duvencrune,2,0,2700000,2490000,2690000,0
2391,Cadeira de Pescoço de Monumento de Duvencrune,2,0,2140000,1980000,2140000,0
2392,Cadeira de Intersecção de Duvencrune,2,0,2140000,1980000,2140000,0
2393,Cadeira com Mokmoru de Duvencrune,2,0,2140000,1980000,2140000,0
2394,Cadeira com Pescoço Quadrado de Duvencrune,2,0,2160000,2000000,2160000,0
2395,Banco Padrão de Kamasylvia,2,0,2700000,2500000,2700000,0
2396,Banco de Atanis de Kamasylvia,2,0,2700000,2500000,2700000,0
2397,Bancada de Árvore-Anel de Kamasylvia,2,0,2700000,2500000,2700000,0
2398,Banco de Harmonia de Kamasylvia,2,0,2700000,2500000,2700000,0
2399,Cadeira de Clima de Kamasylvia,2,0,2200000,2040000,2200000,0
2501,Estante com Conhecimento sobre Monstros (Balenos),3,0,233000,215000,232000,0
2502,Estante com Conhecimento sobre Diabretes (Balenos),3,0,200000,185000,200000,0
2503,Estante com Conhecimento sobre Goblins,3,0,200000,185000,199000,0
2504,Estante com Conhecimento sobre os Exilados de Mediah,3,0,173000,161000,173000,0
2505,Estante com Conhecimento sobre Monstros (Serendia),3,0,69500,60500,65000,0
2506,Estante com Conhecimento sobre Monstros de Plantas (Serendia),3,0,70000,61000,65500,0
2509,Estante com Conhecimento sobre Diabretes (Serendia),3,0,200000,183000,197000,0
2510,Estante com Conhecimento sobre Fogans,3,0,240000,222000,240000,0
2511,Estante com Conhecimento sobre Nagas,3,0,240000,222000,240000,0
2512,Estante com Conhecimento sobre Orcs Vermelhos,3,0,240000,222000,239000,0
2513,Estante com Conhecimento sobre os Rebeldes de Al Rhundi,3,0,173000,161000,173000,0
2514,Estante com Conhecimento sobre Sectários,3,0,173000,161000,173000,0
2515,Estante com Conhecimento sobre os Seguidores de Kzarka,3,0,233000,216000,233000,0
2517,Estante com Conhecimento sobre Monstros de Plantas (Calpheon),3,0,200000,183000,197000,0
2518,Estante com Conhecimento sobre Khurutos,3,0,173000,161000,173000,0
2520,Estante com o Conhecimento sobre os Monstros na Casa de Marni,3,0,173000,161000,173000,0
2521,Estante com Conhecimento sobre Saunils,3,0,242000,222000,239000,0
2522,Estante com Conhecimento sobre Monstros da Floresta Mansha,3,0,200000,185000,200000,0
2523,Estante com Conhecimento sobre Rhutums,3,0,240000,221000,238000,0
2524,Estante com Conhecimento sobre Monstros de Lago de Kaia,3,0,173000,161000,173000,0
2525,Estante com Conhecimento sobre Monstros do Santuário de Hexe,3,0,300000,278000,300000,0
2526,Estante com Conhecimento sobre Monstros das Ruínas,3,0,190000,164000,177000,0
2527,Estante com Conhecimento sobre as Sociedades Secretas,3,0,173000,159000,171000,0
2528,Estante com Conhecimento sobre Harpia,3,0,200000,185000,200000,0
2529,Estante com Conhecimento sobre Gigantes,3,0,200000,185000,200000,0
2530,Estante com Conhecimento sobre Criaturas de Calpheon,3,0,65500,56500,61000,0
2531,Estante com Conhecimento sobre Monstros da Pedreira,3,0,200000,184000,198000,0
2532,Estante com Conhecimento sobre Monstros do Campo de Refugiados,3,0,200000,185000,200000,0
2533,Estante de Conhecimento de Pradaria (Kamasylvia),3,0,400000,370000,400000,0
2534,Estante com conhecimento de navegação de Falasi,3,0,875000,810000,875000,0
2535,Estante com conhecimento de escavação de Falasi,3,0,1920000,1780000,1920000,0
2536,Estante com conhecimento de caça de Falasi,3,0,1250000,1160000,1250000,0
2702,Cama Artesanal Heidel,1,0,5750000,5350000,5750000,0
2704,Cama Artesanal Velia,1,0,2210000,2050000,2210000,0
2706,Cama Artesanal Calpheon,1,0,2900000,2690000,2900000,0
2708,Cama Artesanal Mediah,1,0,3300000,3060000,3300000,0
2710,Cama Artesanal Valência,1,0,3770000,3490000,3770000,0
2814,Lustre da Oficina Xian (Branco),1,0,1400000,1300000,1400000,0
2846,Lustre Crepúsculo de Duvencrune,1,0,12000000,11100000,12000000,0
3002,Cabeça de Urso Empalhada,1,0,15000,13000,14000,13
3003,Tapete de Couro de Urso,1,0,30000,27700,29900,0
3006,Cabeça de Raposa Empalhada,1,0,1370,1280,1280,1195
3007,Elmo Chefe de Goblin,2,0,33200000,30600000,33000000,1
3013,Faca de Comandante Diabrete,2,0,65000000,60500000,65000000,0
3017,Doninha Empalhada,1,0,1030,965,965,706
3018,Cabeça Empalhada de Lobo-Cinzento,1,0,2680,2500,2500,3104
3019,Cabeça de Lobo Empalhada,1,0,1780,1660,1660,904
3020,Decoração de Estátua de Fé Cega,1,0,110000,102000,110000,0
3021,Decoração Grotesca de Bandeira,1,0,50000,46300,50000,0
3023,Decoração de Cabeça de Abóbora,1,0,32200,29800,32200,0
3025,Alabarda Decorativa de Pântano,1,0,5000,4670,4670,2439
3026,Decoração de Luvas de Lutador,1,0,45000,38800,41900,5
3037,Elmo Brilhante de Bheg,2,0,710000,620000,665000,13
3038,Decoração de Pena de Karanda,2,0,5100000,4410000,4760000,0
3039,Ornamento de Ombro de Bruxa,2,0,2010000,1730000,1870000,13
3040,Elmo Sangrento de Aço de Muskan,2,0,26000000,22400000,24200000,10
3041,Broto de Espírito de Árvore Purificado,2,0,255000,221000,238000,0
3042,Asa de Khalk,2,0,7450000,6450000,6950000,21
3051,Estátua de Quint,2,0,3000000,2780000,3000000,0
3053,Cabeça Empalhada de Javali Grande,1,0,22700,21000,22600,0
3054,Cabeça Empalhada de Cervo de Chifre Grande,1,0,1370,1280,1280,919
3061,Cabeça Empalhada de Cabra de Montanha de Valência,1,0,51500,44500,48100,109
3062,Cabeça Empalhada de Leão Gigante,1,0,235000,203000,219000,26
3063,Cabeça Empalhada de Leoa de Valência,1,0,14500,13500,13500,674
3070,Cabeça do Urso Marrom Gigante Empalhada,2,0,29000000,26900000,29000000,0
3071,Cabeça do Lobo Branco Empalhada,2,0,25000000,23200000,25000000,0
3073,Cabeça Empalhada de Bode de Drieghan,1,0,103000,89500,96500,27
3074,Cabeça Empalhada de Cabra de Drieghan,1,0,124000,108000,116000,35
3075,Cabeça Empalhada de Iaque,1,0,22400,20900,20900,408
3076,Lhama Empalhada,1,0,1290000,1110000,1200000,0
3077,Cabeça Empalhada de Elefante Belladona,1,0,3000000,2780000,3000000,0
3078,Cabeça Empalhada de Filhote de Elefante Belladona,1,0,2240000,2080000,2240000,0
3079,Cabeça Empalhada de Gazela,1,0,277000,254000,274000,0
3080,Cabeça Empalhada de Pantera Negra,1,0,1250000,1160000,1250000,0
3081,Cabeça Empalhada de Lobo Plumado,1,0,18900,17600,17600,13965
3082,Cabeça Empalhada de Pheunil,1,0,53500,50000,50000,510
3083,Cabeça Empalhada de Ferrica,1,0,510000,472000,510000,0
3084,Cabeça Empalhada de Ferrina,1,0,1000000,925000,1000000,0
3085,Lustre de Grifo,1,0,40000000,37000000,40000000,0
3086,Doninha de Kamasylvia Empalhada,1,0,4300000,3980000,4300000,0
3401,Cabeça Empalhada de Urso de Artesão,2,0,2000000,1830000,1970000,0
3405,Cabeça Empalhada de Raposa de Artesão,2,0,2020000,1870000,2020000,0
3406,Doninha Empalhada de Artesão,2,0,3000000,2780000,3000000,0
3407,Cabeça Empalhada de Lobo-Cinzento de Artesão,2,0,2000000,1850000,2000000,0
3408,Cabeça Empalhada de Lobo de Artesão,2,0,2000000,1850000,2000000,0
3409,Cabeça Empalhada de Javali Grande de Artesão,2,0,2000000,1840000,1980000,0
3410,Cabeça Empalhada de Cervo de Chifre Grande de Artesão,2,0,1180000,1090000,1170000,0
3411,Cabeça Empalhada de Cabra de Montanha de Valência de Artesão,2,0,4000000,3700000,4000000,0
3412,Cabeça Empalhada de Leão Gigante de Artesão,2,0,5000000,4610000,4980000,4
3413,Cabeça Empalhada de Leoa de Valência de Artesão,2,0,4000000,3700000,4000000,5
3416,Cabeça Empalhada de Bode de Drieghan de Artesão,2,0,4000000,3600000,3890000,0
3417,Cabeça Empalhada de Cabra de Drieghan de Artesão,2,0,4000000,3650000,3940000,0
3418,Cabeça Empalhada de Iaque de Artesão,2,0,4350000,3960000,4280000,1
3419,Lhama Empalhada de Artesão,2,0,9750000,8450000,9100000,0
3501,Cabeça Empalhada de Urso do Mestre,3,0,575000,495000,535000,0
3505,Cabeça Empalhada de Raposa do Mestre,3,0,675000,585000,630000,0
3506,Doninha Empalhada do Mestre,3,0,1250000,1160000,1250000,0
3507,Cabeça Empalhada de Lobo-Cinzento do Mestre,3,0,319000,275000,297000,0
3508,Cabeça Empalhada de Lobo do Mestre,3,0,860000,800000,860000,0
3509,Cabeça Empalhada de Javali Grande do Mestre,3,0,404000,348000,376000,0
3510,Cabeça Empalhada de Cervo de Chifre Grande do Mestre,3,0,845000,785000,845000,0
3511,Cabeça Empalhada de Cabra de Montanha de Valência do Mestre,3,0,445000,383000,414000,0
3512,Cabeça Empalhada de Leão Gigante do Mestre,3,0,1740000,1610000,1740000,0
3513,Cabeça Empalhada de Leoa de Valência do Mestre,3,0,530000,459000,496000,0
3516,Cabeça Empalhada de Bode de Drieghan do Mestre,3,0,580000,500000,540000,0
3517,Cabeça Empalhada de Cabra de Drieghan do Mestre,3,0,865000,745000,805000,0
3518,Cabeça Empalhada de Iaque do Mestre,3,0,1560000,1430000,1540000,0
3519,Lhama Empalhada do Mestre,3,0,3400000,3000000,3170000,0
3520,Cabeça Empalhada de Elefante Belladona de Artesão,2,0,18700000,16100000,17400000,0
3521,Cabeça Empalhada de Filhote de Elefante Belladona de Artesão,2,0,9150000,7950000,8550000,0
3522,Cabeça Empalhada de Gazela de Artesão,2,0,4000000,3700000,4000000,0
3523,Cabeça Empalhada de Pantera Negra de Artesão,2,0,10100000,9250000,10000000,0
3524,Cabeça Empalhada de Lobo Plumado de Artesão,2,0,2620000,2260000,2440000,87
3525,Cabeça Empalhada de Phnyl de Artesão,2,0,5600000,5150000,5550000,6
3526,Cabeça Empalhada de Ferrica de Artesão,2,0,1520000,1320000,1420000,0
3527,Cabeça Empalhada de Ferrina de Artesão,2,0,5000000,4600000,4970000,0
